zone,practice_id,practice_name,speciality,monetisable_txns,practice_reference_id
hsr layout,712236,Apollo Clinic,Cardiologist; Cosmetic/Plastic Surgeon; ENT; Gastroenterologist; General Dermatology; General Gynecology; General Pediatrics; General Physician; General Psychiatry; General Surgeon; Neurologist; Oncologist; Orthopaedics; Physiotherapist; Pulmonologist; Radiology; Urologist,859,d5a2c2bf-70cb-4bb8-88a9-2e79dc7fc1d3
hsr layout,2089448,Sakra IKOC Multispeciality Hospital,Cardiologist; Cosmetic/Plastic Surgeon; ENT; General Dentistry; General Dermatology; General Physician; General Surgeon; Neurologist; Orthopaedics; Pulmonologist; Urologist; Vascular Surgeon,498,170fb1b0-31c8-4e7f-8e9f-dddf70e6bc4d
hsr layout,1322328,Sai Thunga Hospitals,Cardiologist; ENT; General Dermatology; General Gynecology; General Pediatrics; General Physician; General Surgeon; Neurologist; Oncologist; Orthopaedics; Physiotherapist; Radiology; Urologist,466,db26258a-80b2-4fbc-98d6-4de1360d3ac8
hsr layout,711486,Apollo Clinic,Cardiologist; Dietitian; ENT; General Dermatology; General Gynecology; General Pediatrics; General Physician; General Psychiatry; General Surgeon; Neurologist; Orthopaedics; Pulmonologist; Radiology; Urologist,451,cc9b7f6c-c40d-47ba-bcad-29dcdf59dd2e
hsr layout,1162994,Dermaville,General Dermatology,451,ed85c97e-9540-4351-93b0-5f7a0d15edbb
hsr layout,1414953,Vriksh Fertility,General Gynecology,424,0aa5b1de-2ce3-4cb9-8b3d-6f364a7c8489
hsr layout,1411195,Bangalore Gastro Centre Hospitals,Gastroenterologist; General Pediatrics; General Physician,401,60b530cf-1384-423d-835e-0c6616791352
hsr layout,879669,Apollo Clinic,Cardiologist; ENT; General Dentistry; General Dermatology; General Gynecology; General Ophthalmology; General Pediatrics; General Physician; General Psychiatry; General Surgeon; Oncologist; Orthopaedics; Pulmonologist; Radiology; Urologist; Vascular Surgeon,337,77d531fd-7b9b-4b44-a2c3-2f100258eb82
hsr layout,1149834,Greenview Medical Center,Cardiologist; ENT; General Dermatology; General Gynecology; General Pediatrics; General Physician; General Psychiatry; General Surgeon; Nephrologist; Orthopaedics; Urologist,321,aed5ad5f-b705-40a6-8790-9b9800419faf
hsr layout,687635,Ovum Woman and Child Speciality Hospital,General Gynecology; General Pediatrics; General Surgeon; Infertility Specialist,320,91696efa-ecad-498a-9917-fa8356cf8507
hsr layout,1473603,Sapphire Skin and Aesthetics Clinic,General Dermatology; General Physician,318,46d60fd1-95bc-47c0-9168-02a150371c3e
hsr layout,2092745,Sparsh Hospital,Cardiologist; Dietitian; ENT; Endocrinologist; General Dermatology; General Gynecology; General Ophthalmology; General Pediatrics; General Physician; General Psychiatry; General Surgeon; Nephrologist; Neurologist; Orthopaedics; Radiology; Urologist,315,d8108446-ffd7-4def-9aa8-e1ad30010c19
hsr layout,920071,Apollo Medical Centre,Cardiologist; Cosmetic/Plastic Surgeon; Dietitian; ENT; Gastroenterologist; General Dermatology; General Gynecology; General Ophthalmology; General Pediatrics; General Physician; General Psychiatry; General Surgeon; Neurologist; Oncologist; Orthopaedics; Physiotherapist; Pulmonologist; Radiology; Vascular Surgeon,313,9070184d-4886-4724-b109-2fb6dfcdaa95
hsr layout,1135026,Sakra World Hospital,Audiologist; Cardiologist; Cosmetic/Plastic Surgeon; Dietitian; ENT; Endocrinologist; Gastroenterologist; General Dentistry; General Dermatology; General Gynecology; General Ophthalmology; General Pediatrics; General Physician; General Psychiatry; General Surgeon; Nephrologist; Neurologist; Oncologist; Orthopaedics; Pulmonologist; Speech Therapist; Urologist; Vascular Surgeon; Veterinarian,312,7d713311-be47-4246-95e7-ecfeeeb0ab99
hsr layout,1465499,Dr. Bhattacharyya ENT Clinic,ENT,281,dd5b250c-4f5b-4a5a-b9e7-7ff7c4384cc4
hsr layout,745107,Chisel Dental,General Dentistry,271,1b1d6bf6-cc50-4b8a-bbb4-3c371dcc7200
hsr layout,693752,Motherhood Hospital,ENT; Endocrinologist; General Gynecology; General Pediatrics; General Physician; General Surgeon; Orthopaedics; Radiology,239,3b4f6b90-87e4-450e-9ab5-a6fc8b1b01a6
hsr layout,1423815,Sunlife Hospital,ENT; General Gynecology; General Pediatrics; General Physician; General Surgeon; Orthopaedics; Urologist,218,9202c57a-eaea-492e-a4d2-e01f25471a32
hsr layout,1411627,Shashi Advanced Health,General Physician,211,991762ac-201a-4bc2-b7b1-0822179d7b88
hsr layout,1108669,SPANDANA HEART AND SUPER SPECIALITY HOSPITAL,Cardiologist; Cosmetic/Plastic Surgeon; Gastroenterologist; General Dentistry; General Physician; General Surgeon; Nephrologist; Neurologist; Orthopaedics; Pulmonologist,180,fa31b7aa-f015-4467-9e6b-96c20fa6ddfe
hsr layout,1328073,Kritash Skin and Asthetic Clinic,General Dermatology,177,8013d4bf-77a8-4461-9bae-a557dd6d2867
hsr layout,1451885,Cloudnine Hospital,General Gynecology; General Pediatrics; Infertility Specialist; Radiology,175,216634e6-56e8-4ece-87c7-d6829a3e51a1
hsr layout,659126,Marvel Multispeciality Hospital,Cosmetic/Plastic Surgeon; ENT; General Dermatology; General Gynecology; General Pediatrics; General Physician; General Psychiatry; General Surgeon; Orthopaedics; Urologist,171,5be32e28-5165-4f34-9272-198f6a74ddae
hsr layout,1239612,International Knee & Orthopaedic Centre,Orthopaedics; Physiotherapist,149,3e15ba86-86dc-4d67-a7dc-b17984a909e4
hsr layout,1456854,PK Neuropsychiatry counselling centre,General Psychiatry,148,349b666d-b0cb-4d01-b657-dddf485a469b
hsr layout,1106241,Cloudnine Hospital,ENT; General Dermatology; General Gynecology; General Pediatrics; General Physician; General Psychiatry; Infertility Specialist; Radiology,146,68c45e4b-da9f-4e98-804b-2d06d575812e
hsr layout,1126141,Apollo Cradle & Children’s Hospital,General Dermatology; General Gynecology; General Pediatrics; Radiology,142,b1cd52f6-ea36-43d2-99c7-0359ae8be2db
hsr layout,1172640,HSR Neuro Clinic,General Psychiatry; Neurologist,132,8d1c67bc-d4ae-4419-853e-c2f9a95e51c1
hsr layout,685061,Rishab Clinic,General Physician,128,c504b668-beec-4395-a041-d94ab4c5fcea
hsr layout,1134531,Apollo Spectra Hospitals,Cardiologist; Cosmetic/Plastic Surgeon; Dietitian; ENT; Gastroenterologist; General Dentistry; General Dermatology; General Gynecology; General Ophthalmology; General Physician; General Psychiatry; General Surgeon; Oncologist; Orthopaedics; Radiology; Veterinarian,124,feb4fe14-bd3d-4f17-8564-2d2f2dac810c
hsr layout,684215,Devi-Eye-Hospitals.,General Ophthalmology,123,6982aec5-b64e-4d52-8404-171b8d2a51bd
hsr layout,1451128,Manipal Sarjapur Clinic,Cardiologist; ENT; Gastroenterologist; General Dermatology; General Gynecology; General Ophthalmology; General Pediatrics; General Physician; General Psychiatry; General Surgeon; Nephrologist; Orthopaedics; Pulmonologist; Urologist,119,8924367e-caa4-4503-8beb-86d931544e1b
hsr layout,700015,DermaZeal Clinic,General Dermatology,118,15c2b971-0df8-4609-8c5b-50127238ee91
hsr layout,1069213,Aparnaa Women's Clinic,General Gynecology,118,4075cce9-8e77-499f-ab38-d34a7fedaacf
hsr layout,1413052,Curemaxx Hospitals,ENT; Endocrinologist; General Dermatology; General Physician; General Surgeon; Orthopaedics; Urologist,112,e54956d6-1059-44d2-92f4-e85da364cee3
hsr layout,1161562,Skin Clinic,General Dermatology,112,88813375-1d1c-4cb0-adbd-02f6e165e542
hsr layout,1152151,The Eye Foundation Super Specialty Eye Hospital,General Ophthalmology,112,1ced409f-af8a-4e96-9d83-1345de103e7e
hsr layout,1363734,Aiconic Skin Clinic,General Dermatology,109,d3d9197a-622e-4657-9b88-ceff1f653eaa
hsr layout,1271617,Nelivigi Multispeciality and Urology Hospital,General Gynecology; General Physician; General Surgeon; Orthopaedics; Physiotherapist; Urologist,109,6f845898-c757-4c72-8f4a-379d0b0b7dbd
hsr layout,1175053,Marigold Hospital,ENT; General Dentistry; General Dermatology; General Gynecology; General Physician; General Psychiatry; General Surgeon; Nephrologist; Neurologist; Orthopaedics; Pulmonologist; Urologist,108,0185d20b-7db5-49ce-b97c-b1c17482403f
hsr layout,1366494,Srushti Gastro And Liver Clinic,Gastroenterologist,107,1587ad7d-6c41-477d-a539-30c204bd8c9f
hsr layout,2070139,Skin Aura Clinic,General Dentistry; General Dermatology,106,aee2c3e9-721a-4770-8ead-bcffd8b47002
hsr layout,892238,Sri Yashoda Children's Clinic,General Pediatrics,106,ae2278ae-2689-496c-bbda-4eb0ec264b96
hsr layout,1467028,Minchu Health Care,ENT; General Pediatrics; General Physician; Neurologist; Orthopaedics; Physiotherapist,104,fd418687-b068-4e7e-a421-6fe5fc53076c
hsr layout,767126,Dr. Jain's Eye Clinic,General Ophthalmology,103,4966a15c-1209-4ec2-a28c-0a07d2adab6d
hsr layout,1259763,Compathy Health,General Psychiatry,102,ccfb9c86-dcb2-48f0-8982-8db53b48abba
hsr layout,1109281,Sankalp Nethralaya and PolyClinic,General Ophthalmology,100,d1511737-46ac-4a34-b3e4-0569704b4eec
hsr layout,1368399,Dr. Renu's Skin And Hair Clinic,General Dermatology,96,f03f9776-28da-4e33-8149-9ae9a7ab0b71
