practice_id,practice_name,zone,speciality,monetisable_txns
1195879,Janisthaa Fertility and IVF center,malleswaram,General Gynecology,573
689873,Dr. Priya's Skin & Hair Clinic,marathahalli,General Dermatology,519
1162994,Dermaville,hsr layout,General Dermatology,451
1414953,Vriksh Fertility,hsr layout,General Gynecology,424
1322148,Aster Women & Children Hospital,whitefield,General Gynecology,398
1466123,Medicover Hospitals - Bangalore,whitefield,Orthopaedics,372
923159,Ovum Woman & Child Speciality Hospital,kalyan nagar,General Gynecology,366
1411195,Bangalore Gastro Centre Hospitals,hsr layout,Gastroenterologist,341
1473603,Sapphire Skin and Aesthetics Clinic,hsr layout,General Dermatology,318
1045801,YCDC - Dr. Yogiraj Centre For Dermatology And Cosmetology,whitefield,General Dermatology,315
841811,Dermacare Skin and Hair Clinic,jp nagar,General Dermatology,287
1465499,Dr. Bhattacharyya ENT Clinic,hsr layout,ENT,281
745107,Chisel Dental,hsr layout,General Dentistry,271
704559,Cavalier Hospital,kalyan nagar,ENT,265
687635,Ovum Woman and Child Speciality Hospital,hsr layout,General Gynecology,261
712236,Apollo Clinic,hsr layout,ENT,260
1598223,Calyx Skin Lab,indiranagar,General Dermatology,258
630200,Manipal Hospitals Old Airport Road,marathahalli,Orthopaedics,240
729170,Dr. Partha Sarathi's Asian Hair And Skin Hospitals,indiranagar,General Dermatology,226
1131816,Manipal Hospital Varthur Road (formerly Columbia Asia Hospital),whitefield,General Dermatology,225
630200,Manipal Hospitals Old Airport Road,marathahalli,Gastroenterologist,219
702709,Apollo Medical Centre,whitefield,General Physician,219
841725,Mannat Fertility Clinic,marathahalli,General Gynecology,217
1411627,Shashi Advanced Health,hsr layout,General Physician,211
1276092,3 Senses Nihit Ent Center,indiranagar,ENT,210
1102131,Manipal Hospital Whitefield,whitefield,ENT,205
711486,Apollo Clinic,hsr layout,ENT,204
2089448,Sakra IKOC Multispeciality Hospital,hsr layout,General Physician,204
1171292,Divisha Arthritis and Medical Center,malleswaram,Orthopaedics,202
630200,Manipal Hospitals Old Airport Road,marathahalli,Neurologist,202
1146253,Aster CMI Hospital,kalyan nagar,Orthopaedics,199
1146253,Aster CMI Hospital,kalyan nagar,Neurologist,197
